Gene Description	Gene Accession Number	HL60_0_hrs	call	HL60_0.5_hrs	call	HL60_4_hrs	call	HL60_24_hrs	call	U937_0_hrs	call	U937_0.5_hrs	call	U937_4_hrs	call	U937_24_hrs	call	NB4_0_hrs	call	NB4_5.5_hrs	call	NB4_24_hrs	call	NB4_48_hrs	call	NB4_72_hrs	call	Jurkat_0_hrs	call	Jurkat_0.5_hrs	call	Jurkat_4_hrs	call	Jurkat_24_hrs	call
"No cluster in current Unigene and no Genbank entry for R26061 (qualifier R26061)"	R26061	2	A	-6	A	17	M	7	A	2	A	0	A	1	A	1	A	0	A	6	A	2	A	2	A	4	A	-1	A	-1	A	7	A	-5	A
"No cluster in current Unigene and no Genbank entry for R26063 (qualifier R26063)"	R26063	-3	A	-6	A	-2	A	28	M	-4	A	3	A	0	A	-5	A	2	A	-1	A	-6	A	0	A	-2	A	-7	A	4	A	-2	A	4	A
"GTF2B General transcription factor IIB"	R26139	128	P	110	P	103	P	96	P	27	P	23	P	29	P	32	P	26	P	79	P	48	P	90	P	102	P	122	P	75	P	131	P	198	P
"NFKB1 Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)"	R26146	55	P	67	P	111	P	82	P	13	A	63	P	56	P	25	P	26	P	18	P	33	P	51	P	85	P	68	P	79	P	314	P	238	P
"ESTs"	R26271	7	A	13	A	-2	A	9	A	-3	A	0	A	-1	A	-2	A	1	A	-1	A	9	A	-7	A	-6	A	-18	A	9	A	-8	A	-5	A
"RNA polymerase II subunit"	R26294	108	P	118	P	124	P	39	P	77	P	76	P	72	P	33	P	36	P	58	P	52	P	53	P	42	P	55	P	89	P	88	P	58	P
"ESTs"	R26456	3	A	-93	A	-39	A	-22	A	-8	A	-2	A	-1	A	-8	A	-17	A	-3	A	-4	A	-11	A	-12	A	-36	A	-9	A	-19	A	-28	A
"ESTs"	R26558	-3	P	-3	P	52	P	37	P	2	A	-1	A	2	A	7	A	3	A	23	P	-3	A	8	P	5	A	29	P	21	P	32	P	-2	A
"No cluster in current Unigene and no Genbank entry for R26614 (qualifier R26614)"	R26614	-3	A	6	P	13	A	8	A	6	A	3	A	1	A	0	A	4	A	8	A	12	A	3	A	7	A	18	A	13	P	9	A	7	A
"No cluster in current Unigene and no Genbank entry for R26668 (qualifier R26668)"	R26668	64	A	3	A	54	M	70	A	1	A	10	A	6	A	-4	A	14	A	11	A	27	M	14	A	11	A	15	A	24	M	13	A	30	A
"No cluster in current Unigene and no Genbank entry for R26717 (qualifier R26717)"	R26717	15	A	-19	A	12	A	-3	A	3	A	-1	A	1	A	0	A	3	A	9	A	-18	A	2	A	0	A	-1	A	8	A	-2	A	1	A
"No cluster in current Unigene and no Genbank entry for R26735 (qualifier R26735)"	R26735	-5	A	-2	A	-10	A	-21	A	-2	A	1	A	-4	A	3	A	-10	A	3	A	-18	A	-9	A	5	A	-21	A	-11	A	-15	A	-11	A
"HS1 binding protein HAX-1 mRNA, nuclear gene encoding mitochondrial protein"	R27017	256	P	342	P	364	P	338	P	25	P	47	P	41	P	40	P	70	P	99	P	111	P	96	P	71	P	191	P	166	P	182	P	151	P
"ESTs"	R27042	294	P	235	P	268	P	353	P	27	P	12	A	31	P	44	P	74	P	146	P	109	P	187	P	296	P	39	P	9	A	27	P	76	P
"ESTs, Highly  similar to MKR2 PROTEIN [Mus musculus]"	R27199	6	A	9	M	-14	A	3	A	4	A	7	A	10	A	5	A	6	A	9	A	-9	A	-3	A	-8	A	17	P	2	A	3	A	5	A
"ESTs, Highly  similar to NUCLEOLYSIN TIA-1 [Homo sapiens]"	R27310	0	A	9	A	11	A	30	P	7	A	1	A	8	A	6	A	2	A	-3	A	4	A	8	A	11	A	18	P	23	P	13	A	19	P
"ESTs, Highly  similar to PROLIFERATION-ASSOCIATED PROTEIN PAG [Homo sapiens]"	R27342	202	P	291	P	149	P	64	P	108	P	114	P	159	P	56	P	157	P	155	P	134	P	127	P	99	P	147	P	125	P	122	P	102	P
"RASA1 GTPase-activating protein ras p21 (RASA)"	R27357	-18	A	26	A	-23	A	18	A	6	A	-13	A	-7	A	12	A	5	A	14	A	-1	A	21	A	10	A	-1	A	14	P	7	A	12	A
"ESTs, Highly  similar to POP2 PROTEIN [Saccharomyces cerevisiae]"	R27369	150	P	155	P	133	P	111	P	53	P	99	P	78	P	44	P	63	P	57	P	78	P	72	P	84	P	79	P	91	P	95	P	90	P
"No cluster in current Unigene and no Genbank entry for R27474 (qualifier R27474)"	R27474	16	A	40	P	24	P	33	A	9	A	2	A	5	A	4	A	5	A	25	P	16	A	8	P	23	A	18	A	23	A	24	P	21	A
"P52 and p64 isoforms of N-Shc"	R27777	12	A	6	A	14	A	12	P	2	A	0	A	1	A	3	A	3	A	-2	A	-1	A	3	A	5	A	-6	A	1	A	6	A	4	A
"ESTs"	R27813	379	P	398	P	247	P	352	P	47	P	38	P	81	P	101	P	159	P	140	P	129	P	355	P	370	P	386	P	292	P	363	P	357	P
"ESTs, Highly  similar to HYPOTHETICAL 12.4 KD HIT-LIKE PROTEIN IN PSBAII 5'REGION [Synechococcus pcc7942]"	R28029_f	120	A	109	A	1	A	-73	A	14	A	-1	A	14	M	-11	A	-8	A	9	A	-32	A	1	A	-6	A	127	P	35	P	86	P	111	P
"ESTs, Highly  similar to HYPOTHETICAL 12.4 KD HIT-LIKE PROTEIN IN PSBAII 5'REGION [Synechococcus pcc7942]"	R28029_i	6	A	7	A	13	M	4	M	2	A	-2	A	-1	A	-1	A	-8	A	-10	A	4	A	-2	A	8	A	52	P	55	P	45	P	48	P
"No cluster in current Unigene and no Genbank entry for R28281 (qualifier R28281)"	R28281	-76	A	-105	A	-50	M	-68	A	-11	A	-10	A	-12	A	-5	A	-14	A	-98	A	-8	M	-26	A	-58	A	3	M	-19	P	-24	A	-40	M
"EST"	R28371	24	A	14	A	34	A	11	A	1	A	2	A	2	A	14	A	10	A	8	A	9	A	6	A	16	A	7	A	12	A	14	P	2	A
"RPLP2 Hemoglobin, beta"	R28373	37	A	35	P	32	A	7	A	60	P	44	P	55	A	59	P	-2	A	6	A	9	A	13	A	11	A	40	A	21	A	37	M	28	A
"ESTs"	R28608	16	A	37	A	13	A	32	A	22	P	24	A	13	A	11	A	10	A	6	A	9	P	15	A	18	A	44	P	41	P	25	P	29	P
"ITGB3 Integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"	R30939_f	-5	A	-3	A	-3	A	9	A	0	A	2	A	1	A	4	A	0	A	4	A	1	A	-1	A	-1	A	-1	A	-3	A	0	A	5	A
"ITGB3 Integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"	R30939_i	-32	A	-50	A	-32	A	-30	A	-5	A	-7	A	-5	A	-7	A	-17	A	-7	A	-24	A	-13	A	-19	A	-10	A	-5	A	-8	A	-21	A
"ITGB3 Integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"	R30939_r_i	-1	A	-42	A	-21	A	-28	A	0	A	-1	A	0	A	4	A	-16	A	-11	A	-10	A	-8	A	-5	A	1	A	-16	A	-4	A	-11	A
"No cluster in current Unigene and no Genbank entry for R30940 (qualifier R30940)"	R30940	4	A	40	A	9	A	3	A	-2	A	1	A	5	A	3	A	9	A	12	A	7	A	-8	A	-5	A	5	A	11	A	0	A	3	A
"No cluster in current Unigene and no Genbank entry for R31115 (qualifier R31115)"	R31115	23	A	87	A	34	A	49	A	2	A	9	A	10	M	4	A	-1	A	-4	A	-14	A	-14	A	-8	A	7	A	18	A	-2	A	3	A
"GTBP DNA G/T mismatch-binding protein"	R31259	8	A	11	A	10	A	3	A	28	P	14	P	24	P	10	A	12	P	22	P	12	P	21	P	20	P	16	P	3	A	6	A	-1	A
"No cluster in current Unigene and no Genbank entry for R31494 (qualifier R31494)"	R31494	29	A	-40	A	-55	A	18	A	5	A	-4	A	0	A	-3	A	9	A	-21	A	-11	A	-15	A	-4	A	40	P	51	A	39	M	46	A
"26S PROTEASE REGULATORY SUBUNIT 4"	R31518	339	P	308	P	259	P	294	P	94	P	189	P	151	P	122	P	34	P	59	P	87	P	80	P	68	P	250	P	233	P	213	P	245	P
"ESTs, Highly  similar to POLIOVIRUS RECEPTOR HOMOLOG PRECURSOR [Mus musculus]"	R31541	-6	A	10	A	5	A	7	A	3	A	3	A	1	A	-1	A	-6	A	-1	A	8	A	3	A	6	A	8	A	4	A	7	A	5	A
"ESTs, Highly  similar to EOSINOPHIL LYSOPHOSPHOLIPASE [Homo sapiens]"	R31571	-23	A	7	A	45	A	-28	A	0	A	4	A	0	A	-8	A	18	A	3	A	25	A	7	A	12	A	7	A	32	A	-2	A	11	A
"No cluster in current Unigene and no Genbank entry for R31698 (qualifier R31698_i)"	R31698_i	0	A	37	P	20	A	73	A	-3	A	2	A	1	A	6	A	5	A	-16	A	-51	A	7	A	7	A	72	P	135	P	227	P	479	P
"No cluster in current Unigene and no Genbank entry for R31698 (qualifier R31698_r)"	R31698_r	144	P	42	A	131	A	155	A	5	A	1	A	17	A	-2	A	12	A	20	A	15	A	34	P	9	A	108	P	246	P	231	P	533	P
"No cluster in current Unigene and no Genbank entry for R31701 (qualifier R31701)"	R31701	8	A	7	A	-9	A	1	A	0	A	-1	A	0	A	1	A	-1	A	0	A	-7	A	0	A	-3	A	0	A	-1	A	0	A	2	A
"ESTs"	R31938	-17	A	-46	A	1	A	0	A	0	A	-2	A	-5	A	2	A	-4	A	-3	A	-11	A	-10	A	3	A	-1	A	11	A	-6	A	-20	A
"No cluster in current Unigene and no Genbank entry for R32019 (qualifier R32019)"	R32019	-5	A	-2	A	-6	A	2	A	-2	A	0	A	0	A	-9	A	-7	A	-5	A	-2	A	0	A	-3	A	-4	A	-9	A	-9	A	-3	A
"ESTs"	R32120	20	P	35	A	28	P	51	P	12	A	7	A	10	A	5	A	8	A	26	P	19	M	12	P	20	P	25	P	16	M	18	P	35	P
"No cluster in current Unigene and no Genbank entry for R32331 (qualifier R32331)"	R32331	3	A	24	A	15	A	6	A	4	A	4	A	0	A	2	A	4	A	7	A	16	A	1	A	-3	A	0	A	12	A	-3	A	4	A
"No cluster in current Unigene and no Genbank entry for R32374 (qualifier R32374)"	R32374	13	A	7	A	31	A	40	A	5	A	8	A	4	A	9	P	18	A	0	A	16	A	13	A	-3	A	35	P	32	M	26	M	16	A
"ESTs"	R32410_f	9	A	28	P	11	P	6	P	4	A	-1	A	2	A	6	A	2	A	-1	A	12	P	3	A	3	A	1	A	4	A	3	A	2	A
"ESTs"	R32410_i	4	A	23	P	7	A	9	A	5	A	0	A	1	A	3	A	8	A	6	A	5	A	8	A	3	A	-6	A	5	A	-2	A	13	A
"ESTs, Weakly similar to gp330 precursor [H.sapiens]"	R32446	-12	A	-19	A	22	A	26	A	7	A	2	A	0	A	1	A	3	A	6	A	5	A	4	A	-5	A	13	A	13	A	11	A	17	A
"ESTs"	R32457_f	7	A	4	A	5	A	9	A	3	A	2	A	0	A	1	A	-4	A	-1	A	9	A	0	A	6	A	2	A	3	A	2	A	8	A
"ESTs"	R32457_i	-6	A	85	A	24	A	4	A	-1	A	5	A	1	A	-1	A	1	A	27	A	0	A	17	A	10	A	30	A	48	A	52	A	11	A
"ESTs"	R32457_r_i	31	A	-47	A	-18	A	-27	A	2	A	-7	A	0	A	-4	A	-5	A	0	A	-9	A	0	A	-3	A	17	A	17	P	17	A	-3	A
"No cluster in current Unigene and no Genbank entry for R32478 (qualifier R32478)"	R32478	13	A	36	A	5	A	14	A	2	A	-2	A	4	A	1	A	9	A	10	A	6	A	9	A	9	A	15	P	-1	A	15	A	13	P
"No cluster in current Unigene and no Genbank entry for R32479 (qualifier R32479)"	R32479	-8	A	-7	A	-18	A	-3	A	-3	A	4	A	1	A	1	A	1	A	9	A	11	A	1	A	3	A	-2	A	2	A	7	A	-8	A
"No cluster in current Unigene and no Genbank entry for R32511 (qualifier R32511)"	R32511	69	P	38	P	76	P	44	P	159	P	182	P	169	P	90	P	40	P	61	P	48	P	60	P	53	P	123	P	126	P	157	P	243	P
"Clone rasi-1 matrix metalloproteinase RASI-1 mRNA"	R32771	16	A	-30	A	85	A	33	A	9	A	11	A	6	A	7	A	0	A	35	A	17	A	8	A	28	A	47	M	13	M	22	A	27	A
"UBE1L Ubiquitin-activating enzyme E1, like"	R32773	-16	A	-68	A	-20	A	20	A	-2	A	11	A	-7	A	-13	A	2	A	12	A	12	A	35	A	41	P	-28	A	0	A	-10	A	5	A
"GLUCOSE TRANSPORTER TYPE 3, BRAIN"	R32804	99	P	68	P	131	P	1236	P	2	A	9	P	1	A	55	P	9	A	5	A	56	P	34	P	63	P	24	A	16	P	339	P	233	P
"EST, Highly  similar to GLUTAMATE RECEPTOR 5 PRECURSOR [Rattus norvegicus]"	R32841	7	A	13	A	-2	A	5	A	-1	A	0	A	1	A	3	A	1	A	-4	A	2	A	1	A	6	A	2	A	2	A	0	A	4	A
"X2 box repressor mRNA"	R32858	0	A	6	A	22	P	63	P	0	A	0	A	2	A	5	A	10	A	11	A	4	A	13	P	19	P	11	P	6	A	18	P	13	A
"ESTs"	R32864	2	A	1	A	-1	A	15	P	0	A	1	A	3	A	0	A	0	A	5	A	-1	A	5	A	9	A	8	A	0	A	5	A	16	A
"No cluster in current Unigene and no Genbank entry for R32883 (qualifier R32883)"	R32883	2	A	-10	A	2	A	-6	A	3	A	-1	A	0	A	1	A	-5	A	-1	A	0	A	2	A	1	A	6	A	2	A	0	A	5	A
"ESTs, Weakly similar to HOMEOBOX PROTEIN HOX-B5 LIKE [Danio rerio]"	R33007_f	-5	A	-7	A	-10	A	-3	A	1	A	-5	A	-2	A	-7	A	-6	A	-13	A	-16	A	-13	A	-8	A	-16	A	-12	A	-16	A	-5	A
"ESTs, Weakly similar to HOMEOBOX PROTEIN HOX-B5 LIKE [Danio rerio]"	R33007_i	24	P	28	P	49	P	18	A	8	A	6	A	1	A	10	A	6	A	54	P	64	P	44	P	44	P	43	P	73	P	30	M	34	P
"ESTs, Weakly similar to HOMEOBOX PROTEIN HOX-B5 LIKE [Danio rerio]"	R33007_r_i	10	A	46	A	23	A	53	P	8	A	-2	A	1	A	9	A	21	P	48	P	51	P	44	P	55	P	28	P	60	P	38	P	23	M
"Prostate differentiation factor mRNA"	R33078	-14	A	-6	A	-6	A	-12	A	-22	A	-9	A	-25	A	-15	A	-19	A	-15	A	-13	A	-25	A	-16	A	-20	A	-10	A	-25	A	-28	A
"MCP Membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)"	R33367	114	P	145	P	122	P	169	P	21	P	12	P	23	P	19	P	56	P	86	P	171	P	156	P	152	P	118	P	80	P	113	P	125	P
"PERIPHERAL-TYPE BENZODIAZEPINE RECEPTOR"	R33465	594	P	552	P	664	P	47	M	67	P	83	P	126	P	50	P	101	P	84	P	111	P	155	P	128	P	-24	A	-31	A	-22	A	-23	A
"CAMP responsive element binding protein beta subunit (CREBPA) mRNA"	R33481	12	M	-4	A	16	A	18	A	-2	A	3	A	3	A	5	A	19	P	16	A	46	A	11	A	9	A	28	A	28	P	4	A	9	A
"ESTs"	R33498	-118	A	-354	A	-121	A	-127	A	-23	A	-26	A	-16	A	-11	A	-51	A	-90	A	-88	A	-93	A	-16	A	-73	A	-78	A	-56	A	-33	A
"Prostasin mRNA"	R33881_i	18	A	27	A	14	A	28	A	11	A	36	P	27	A	8	A	0	A	10	A	9	A	20	A	2	A	18	A	18	A	22	A	18	A
"Prostasin mRNA"	R33881_r	-9	A	-185	A	-87	A	-544	A	-76	A	-89	A	-182	A	-133	A	-47	A	-16	A	-15	A	-34	A	-40	A	-49	A	-14	A	-37	A	-48	A
"ESTs, Weakly similar to NEUROFIBROMIN [Homo sapiens]"	R34098_f	173	P	330	P	254	P	398	P	94	P	42	P	65	P	139	P	208	P	418	P	306	P	349	P	284	P	392	P	278	P	444	P	341	P
"ESTs, Weakly similar to NEUROFIBROMIN [Homo sapiens]"	R34098_i	-36	A	-73	A	-20	A	-25	A	5	A	-3	A	-16	A	13	M	51	P	34	P	67	P	41	P	37	P	37	P	96	P	44	P	4	P
"No cluster in current Unigene and no Genbank entry for R34160 (qualifier R34160_f)"	R34160_f	52	P	66	P	93	P	48	P	9	A	2	A	3	A	-2	A	16	A	12	A	19	A	14	A	8	A	12	A	11	A	16	A	12	A
"Eps8 binding protein e3B1 mRNA"	R34245	27	P	37	P	37	P	117	P	10	A	2	A	7	A	17	P	14	P	26	A	13	A	34	P	43	P	57	P	58	P	57	P	82	P
"SWI/SNF complex 155 KDa subunit (BAF155) mRNA"	R34301	44	P	37	P	30	P	32	P	5	A	9	A	10	A	6	A	27	P	23	P	26	P	14	P	23	P	29	P	21	P	30	P	29	P
"RPLP2 Hemoglobin, beta"	R34359	-2	A	1	A	18	P	-3	A	-1	A	-4	A	1	A	-1	A	2	A	8	A	3	A	4	A	-5	A	2	A	5	A	6	A	6	A
"RPS3 Ribosomal protein S3"	R34698	6	A	7	A	0	A	28	A	5	A	12	A	4	A	5	A	77	P	84	P	113	P	365	P	605	P	106	P	94	P	132	P	139	P
"Placental bikunin mRNA"	R34701	115	A	277	A	101	A	76	A	11	A	13	A	15	A	30	A	35	A	76	A	116	A	66	A	19	A	81	P	87	A	88	P	145	P
"No cluster in current Unigene and no Genbank entry for R34830 (qualifier R34830)"	R34830	26	A	23	P	25	M	28	A	4	A	1	A	1	A	0	A	1	A	32	A	14	A	13	A	12	A	10	A	6	A	12	A	16	A
"SnRNP core protein Sm D3 mRNA"	R34876	119	P	301	P	273	P	76	P	151	P	165	P	106	P	66	P	191	P	273	P	215	P	197	P	169	P	246	P	249	P	230	P	224	P
"No cluster in current Unigene and no Genbank entry for R35063 (qualifier R35063)"	R35063	5	A	-8	A	2	A	-11	A	3	A	0	A	0	A	-3	A	0	A	-4	A	-3	A	-1	A	-3	A	-2	A	-1	A	-3	A	-1	A
"EST"	R35645	1	A	10	A	10	A	-4	A	-1	A	1	A	0	A	0	A	2	A	11	A	0	A	0	A	5	A	3	A	1	A	2	A	-8	A
"No cluster in current Unigene and no Genbank entry for R35665 (qualifier R35665)"	R35665	90	A	-39	A	195	M	23	A	6	A	-9	A	8	A	-9	A	8	A	27	A	-36	A	-1	A	18	A	11	A	-19	A	2	A	9	A
"ESTs, Weakly similar to F18E2.3 [C.elegans]"	R35885	22	P	28	P	30	P	23	P	4	A	6	A	4	A	6	A	18	P	16	P	17	P	25	P	48	P	36	P	42	P	33	P	32	P
"ESTs, Moderately similar to intrleukin 1 receptor accessory protein precursor [M.musculus]"	R35903	-4	A	23	M	11	P	16	A	3	A	-1	A	3	A	0	A	12	P	1	A	0	A	9	A	8	A	10	A	3	A	0	A	-3	A
"ESTs, Highly similar to CAVEOLIN-1 [H.sapiens]"	R35976	-3	A	-7	A	-6	A	-16	A	-3	A	-2	A	-4	A	1	A	-7	A	-12	A	-8	A	-12	A	1	A	-12	A	-9	A	-8	A	-11	A
"No cluster in current Unigene and no Genbank entry for R36455 (qualifier R36455_f)"	R36455_f	347	P	1271	P	1140	P	385	P	154	P	153	P	172	P	161	P	306	P	505	P	718	P	403	P	238	P	382	P	593	P	410	P	494	P
"TRANSFORMING GROWTH FACTOR BETA 1 PRECURSOR"	R36467	100	P	153	P	245	P	979	P	59	P	141	P	97	P	211	P	49	P	73	P	20	A	107	P	113	P	78	P	67	P	126	P	105	P
"No cluster in current Unigene and no Genbank entry for R36549 (qualifier R36549)"	R36549	-6	A	-11	A	7	A	6	A	-1	A	4	A	-1	A	-1	A	0	A	3	A	1	A	2	A	1	A	-1	A	7	A	3	A	4	A
"Activin type II receptor"	R36644	79	P	110	P	71	M	79	P	14	P	15	P	17	P	18	P	12	A	42	P	31	M	27	M	43	P	58	M	41	P	43	P	43	P
"EST"	R36860	19	P	38	P	47	P	19	P	3	A	15	P	7	A	10	A	54	P	71	P	65	P	59	P	46	P	34	P	52	P	50	P	41	P
"ESTs, Weakly similar to ELONGATION FACTOR 1-ALPHA [D.melanogaster]"	R36905	42	P	25	A	45	P	-28	A	2	A	14	A	19	A	4	A	14	A	6	A	11	A	5	A	4	A	20	A	25	A	31	P	35	P
"IREB1 Iron-responsive element binding protein 1"	R36973	106	P	171	P	91	P	79	P	6	P	26	P	16	P	16	P	30	A	28	P	59	P	35	P	25	P	32	A	55	P	55	P	44	P
"ESTs, Weakly similar to hnRNP protein X homolog sub2.3 [H.sapiens]"	R36976	25	P	33	P	37	P	43	P	4	A	8	A	10	A	8	A	3	A	7	A	10	P	10	P	1	A	37	P	25	P	29	P	24	P
"GTF3A General transcription factor IIIA"	R36977	264	P	369	P	306	P	38	P	169	P	265	P	290	P	100	P	207	P	210	P	223	P	185	P	176	P	814	P	830	P	697	P	417	P
"P55-C-FOS PROTO-ONCOGENE PROTEIN"	R37053	6	A	24	P	-10	A	9	A	0	A	9	A	49	P	17	A	-3	A	3	A	4	A	8	A	13	P	2	A	14	P	5	A	8	A
"KIAA0014 gene"	R37112	16	A	59	A	1	A	15	A	3	A	2	A	9	A	6	A	20	A	1	A	40	A	24	A	34	A	21	A	15	A	20	A	20	A
"Alpha-tubulin mRNA"	R37114	133	P	162	P	151	P	137	P	54	P	143	P	133	P	138	P	167	P	199	P	150	P	160	P	194	P	290	P	280	P	237	P	250	P
"EST, Moderately similar to COMPLEMENT C4 PRECURSOR [H.sapiens]"	R37128	11	A	-1	A	21	A	16	A	5	A	2	A	2	A	0	A	24	A	-4	A	18	A	2	A	4	A	1	A	5	A	5	A	17	A
"EST"	R37246	-18	A	-15	A	1	A	-10	A	-3	A	-2	A	-5	A	-3	A	-12	A	5	A	-35	A	-6	A	-7	A	-1	A	-10	A	1	A	-7	A
"EIF4G Eukaryotic translation initiation factor 4 (eIF-4) gamma"	R37276_i	-64	P	548	P	-112	A	159	P	33	P	78	P	67	P	59	P	28	A	106	P	132	P	67	P	67	P	55	A	108	M	103	P	157	P
"EIF4G Eukaryotic translation initiation factor 4 (eIF-4) gamma"	R37276_r	556	P	957	P	574	P	438	P	85	P	130	P	146	P	121	P	176	P	281	P	442	P	279	P	260	P	269	P	302	P	244	P	278	P
"H2K binding factor 2 (KBF2) mRNA"	R37405	2	A	6	P	11	A	15	A	3	A	3	A	7	A	2	A	-3	A	-1	A	3	A	3	A	1	A	12	A	2	A	10	A	6	A
"GSTT1 Glutathione S-transferase theta 1"	R37412	1	A	-1	A	-8	A	-8	A	-2	A	1	A	-2	A	-8	A	0	A	-8	A	28	P	-3	A	-10	A	-7	A	3	P	-8	A	-2	A
"CRARF C4/C2 activating component of Ra-reactive factor"	R37416	10	A	6	A	5	A	-6	A	3	A	2	A	2	A	8	A	-11	A	-3	A	2	A	-2	A	4	A	-12	A	-5	A	2	A	7	A
"Serine kinase SRPK2 mRNA"	R37417	19	A	33	P	14	P	9	A	2	A	2	A	-2	A	9	A	20	P	18	P	24	P	5	A	26	P	25	P	37	P	28	P	25	P
"No cluster in current Unigene and no Genbank entry for R37428 (qualifier R37428)"	R37428	399	P	361	P	513	P	223	P	376	P	443	P	577	P	135	P	193	P	139	P	72	P	140	P	76	P	560	P	447	P	484	P	423	P
"Adenylate kinase 2 (adk2) mRNA"	R37464	263	P	355	P	355	P	226	P	181	P	258	P	203	P	66	P	201	P	213	P	132	P	203	P	119	P	137	P	107	P	95	P	54	P
"LTA4H Leukotriene A4 hydrolase"	R37480	33	P	28	P	67	P	38	P	130	P	141	P	226	P	114	P	86	P	55	P	63	P	45	P	87	P	229	P	174	P	199	P	151	P
"No cluster in current Unigene and no Genbank entry for R37640 (qualifier R37640)"	R37640	49	P	63	P	86	P	47	P	39	P	159	P	118	P	107	P	36	P	32	P	65	P	100	P	137	P	83	P	79	P	81	P	134	P
"LAP18 Leukemia-associated phosphoprotein p18 (stathmin)"	R37660_i	137	P	365	P	422	P	55	P	91	P	99	P	70	P	11	A	257	P	346	P	231	P	213	P	115	P	410	P	379	P	302	P	327	P
"LAP18 Leukemia-associated phosphoprotein p18 (stathmin)"	R37660_r_i	115	P	484	P	547	P	74	P	102	P	104	P	67	P	12	A	262	P	338	P	227	P	200	P	112	P	381	P	384	P	297	P	346	P
"LAP18 Leukemia-associated phosphoprotein p18 (stathmin)"	R37660_s	824	P	1063	P	709	P	105	P	334	P	494	P	407	P	22	A	378	P	431	P	217	P	203	P	102	P	608	P	678	P	833	P	677	P
"FACL1 Long chain fatty acid acyl-coA ligase"	R37668_f	16	P	15	A	124	P	33	P	8	P	23	P	14	P	22	P	18	A	25	P	73	P	125	P	222	P	23	A	16	P	16	P	13	A
"DHPS Deoxyhypusine synthase"	R37741	81	P	40	P	82	P	59	P	17	P	29	P	26	A	14	P	17	P	21	P	8	A	16	A	27	P	147	P	95	P	132	P	115	P
"No cluster in current Unigene and no Genbank entry for R37772 (qualifier R37772_f)"	R37772_f	15	P	-1	A	15	A	0	A	1	A	1	A	1	A	1	A	3	A	8	A	18	P	8	P	-19	A	5	A	17	P	7	A	5	A
"No cluster in current Unigene and no Genbank entry for R37772 (qualifier R37772_i)"	R37772_i	0	A	49	A	46	P	34	P	9	A	6	A	8	A	-5	A	13	A	5	A	39	P	7	A	14	A	9	A	14	A	14	P	13	A
"ESTs, Highly  similar to PROTEIN PHOSPHATASE PP2A, 55 KD REGULATORY SUBUNIT, NEURONAL ISOFORM [Oryctolagus cuniculus]"	R37799	5	A	45	A	42	A	65	A	9	A	19	A	17	A	2	A	51	P	27	A	26	A	29	M	33	A	26	A	38	P	29	P	20	A
"No cluster in current Unigene and no Genbank entry for R37802 (qualifier R37802)"	R37802	53	A	77	A	63	A	56	A	9	A	15	A	9	A	7	A	23	A	22	A	38	A	34	A	31	A	11	A	9	A	33	A	32	A
"ESTs"	R37837	5	A	7	A	5	A	22	P	-3	A	0	A	0	A	-5	A	4	A	3	A	-18	A	-1	A	0	A	9	A	11	P	2	A	6	A
"No cluster in current Unigene and no Genbank entry for R37866 (qualifier R37866)"	R37866	4	A	-2	A	12	A	12	M	4	A	6	A	9	A	14	P	6	A	4	A	7	A	16	A	18	P	3	A	7	A	5	A	-3	A
"DTR Diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor)"	R37964	5	A	20	A	57	P	146	P	-1	A	2	A	17	P	32	P	3	A	8	A	25	P	41	P	43	P	3	A	4	A	1	A	7	A
"ESTs"	R38017	18	P	24	P	13	A	19	P	2	A	12	A	6	A	4	A	9	A	12	A	6	A	17	A	10	A	4	A	11	P	-4	A	3	A
"No cluster in current Unigene and no Genbank entry for R38024 (qualifier R38024)"	R38024	-11	A	-12	A	1	A	10	A	2	A	-5	A	-3	A	-2	A	-1	A	-3	A	-6	A	-7	A	2	A	-10	A	-4	A	0	A	-3	A
"QDPR Dihydropteridine reductase"	R38198	4	A	11	A	1	A	1	A	9	A	-1	A	-2	A	1	A	2	A	3	A	9	A	-4	A	-1	A	7	A	7	A	-3	A	6	A
"ESTs, Highly  similar to CELL DIVISION PROTEIN KINASE 7 [Xenopus laevis]"	R38203	33	P	-6	A	14	P	38	P	26	P	32	P	30	P	17	A	109	P	85	P	81	P	32	P	61	P	58	P	89	P	100	P	96	P
"ESTs"	R38222	35	P	46	P	27	A	2	M	5	A	5	A	7	A	3	A	-2	A	5	A	1	A	6	A	3	A	8	A	-1	A	11	A	21	P
"ESTs"	R38284	-31	A	-35	A	33	P	27	P	-10	A	-15	A	-17	A	0	A	9	P	-3	A	-32	A	11	A	-12	A	1	A	7	A	-4	A	-8	A
"TUBB Beta-tubulin"	R38292	9	A	9	A	-4	A	8	A	-1	A	7	A	-4	A	22	A	8	A	19	A	20	A	13	A	35	A	12	A	35	A	14	A	14	A
"ESTs"	R38343	5	A	8	A	12	A	13	A	3	A	3	A	2	A	-1	A	2	A	12	A	6	A	5	A	3	A	4	A	3	A	7	A	7	A
